movieTitle,actor,profit,rating
"Final Destination 2","A.J. Cook",64396664,6.1
"Out Cold","A.J. Cook",3786394,5.8
"Meet the Deedles","A.J. Langer",-19643874,4.1
"Love Happens","Aaron Eckhart",18133014,5.9
"Suspect Zero","Aaron Eckhart",-18287436,5.5
Paycheck,"Aaron Eckhart",38819789,6.1
Signs,"Abigail Breslin",337566676,6.5
"Wicked Blood","Abigail Breslin",-3500000,5.5
ATL,"Adam Boyer",4170563,6.8
"Jennifer's Body","Adam Brody",15943401,5.4
"The Ten","Adam Brody",-4463323,5
"Date Movie","Adam Campbell",65146165,3.8
"Frances Ha","Adam Driver",8262769,7.4
"The Lizzie McGuire Movie","Adam Lamberg",40534455,6
"Mr. Deeds","Adam Sandler",121269535,5.7
"50 First Dates","Adam Sandler",121320329,6.7
"The Longest Yard","Adam Sandler",109558505,6.4
"Anger Management","Adam Sandler",139660942,6
"Funny People","Adam Sandler",-619695,5.7
"The Ridiculous 6","Adam Sandler",-60000000,5
Spanglish,"Adam Sandler",-20655679,5.9
"The Overnight","Adam Scott",965996,6
"High Crimes","Adam Scott",21781100,6.2
Doomsday,"Adeola Ariyo",-11378812,5.8
"Son of God","Adrian Schiller",48949793,6.4
Underclassman,"Adrian Young",-19345223,5.1
"Friday the 13th","Adrienne King",59204601,6.3
Venom,"Agnes Bruckner",-24118255,4.9
"Ella Enchanted","Aidan McArdle",-12086323,6.2
"In Dreams","Aidan Quinn",-17982631,5.5
"The Florida Project","Aiden Malik",9295324,7.4
"Office Space","Ajay Naidu",2179708,7.4
"Malcolm X","Al Freeman Jr.",13169910,7.5
"City Hall","Al Pacino",-19721945,6.1
"The Son of No One","Al Pacino",-13851422,5.1
Insomnia,"Al Pacino",67622499,6.9
Misconduct,"Al Pacino",-8647489,5.5
"Mad City","Alan Alda",-39438962,6.1
"What Women Want","Alan Alda",309105123,6.3
Catch-22,"Alan Arkin",6911670,6.9
"The Statement","Alan Bates",-25454936,5.8
"Young Sherlock Holmes","Alan Cox",1739000,6.9
Emma,"Alan Cumming",31931658,6.8
Serenity,"Alan Tudyk",1319440,7.4
"Split Second","Alastair Duncan",-1569178,6
"Malcolm X","Albert Hall",13169910,7.5
"Hail, Caesar!","Alden Ehrenreich",42160680,5.9
"The Cat in the Hat","Alec Baldwin",24818283,5.1
"Mercury Rising","Alec Baldwin",-27016668,6.2
"Fun with Dick and Jane","Alec Baldwin",63018919,6
"My Best Friend's Girl","Alec Baldwin",14787111,5.6
"The Peacemaker","Aleksandr Baluev",12967368,5.8
Face/Off,"Alessandro Nivola",161200000,6.9
"The Eye","Alessandro Nivola",45577765,5.6
"Max Keeble's Big Move","Alex D. Linz",5292381,5.5
Krisha,"Alex Dobrenko",114822,6.8
"Never Back Down 2: The Beatdown","Alex Meraz",-3000000,6
"The Back-Up Plan","Alex O'Loughlin",40281179,6
"Child's Play 2","Alex Vincent",21166572,5.9
"Wicked Blood","Alexa PenaVega",-3500000,5.5
Sleepover,"Alexa PenaVega",-591817,5.5
"When the Game Stands Tall","Alexander Ludwig",15138912,6.6
"Cats & Dogs","Alexander Pollock",140700000,5.2
"Straw Dogs","Alexander Skarsgård",-13746179,5.7
"Eye for an Eye","Alexandra Kyle",6792700,6
Rush,"Alexandra Maria Lara",60230839,7.7
"8 Million Ways to Die","Alexandra Paul",-16694886,5.5
"Surfer, Dude","Alexie Gilmore",-5963503,4.3
"The Sisterhood of the Traveling Pants 2","Alexis Bledel",17270131,6.2
"Sin City","Alexis Bledel",118527918,7.4
"The Sisterhood of the Traveling Pants","Alexis Bledel",16560117,6.5
"My Life in Ruins","Alexis Georgoulis",3477425,5.8
"Whiskey Tango Foxtrot","Alfred Molina",-9649253,6.2
Species,"Alfred Molina",78354449,5.7
"Dudley Do-Right","Alfred Molina",-12181208,3.7
"Final Destination 2","Ali Larter",64396664,6.1
"Final Destination","Ali Larter",89036870,6.5
Obsessed,"Ali Larter",53964713,5.6
Misconduct,"Alice Eve",-8647489,5.5
"Alexander's Ragtime Band","Alice Faye",2000000,6.7
"The Little Vampire","Alice Krige",-8444012,6.1
"Blast from the Past","Alicia Silverstone",-8386380,6.4
"Diary of a Wimpy Kid: The Long Haul","Alicia Silverstone",13609577,5.7
"Urban Legend","Alicia Witt",58571864,5.7
"Miss Sloane","Alison Pill",-10280370,7.5
"My Life in Ruins","Alistair McGowan",3477425,5.8
"Mr. Deeds","Allen Covert",121269535,5.7
"Strange Wilderness","Allen Covert",-13052916,5
"I, Tonya","Allison Janney",42797409,7.5
Tammy,"Allison Janney",76407655,5.2
"American Wedding","Alyson Hannigan",71425115,6.1
"Date Movie","Alyson Hannigan",65146165,3.8
"Sydney White","Amanda Bynes",-2863661,6.4
"Big Fat Liar","Amanda Bynes",37461017,5.7
"Big Fat Liar","Amanda Detmer",37461017,5.7
"Martian Child","Amanda Peet",-17647911,6.7
Identity,"Amanda Peet",54183683,7.2
"Jennifer's Body","Amanda Seyfried",15943401,5.4
"Red Riding Hood","Amanda Seyfried",49678442,5.9
"Letters to Juliet","Amanda Seyfried",52148538,6.9
"The Stepfather","Amber Heard",9227561,5.7
"The Sisterhood of the Traveling Pants 2","Amber Tamblyn",17270131,6.2
"The Grudge 2","Amber Tamblyn",50743839,5.4
"The Sisterhood of the Traveling Pants","Amber Tamblyn",16560117,6.5
"The Sisterhood of the Traveling Pants","America Ferrera",16560117,6.5
"Our Family Wedding","America Ferrera",7410546,5.4
"The Sisterhood of the Traveling Pants 2","America Ferrera",17270131,6.2
"First Daughter",Amerie,-19580916,5.8
Sorcerer,Amidou,-9594032,7.5
Lucy,"Amr Waked",417507776,6.3
"The Wedding Date","Amy Adams",32175038,6.5
Sisters,"Amy Poehler",76030660,5.9
"Lean on Pete","Amy Seimetz",-5544973,7
"The Battle of Shaker Heights","Amy Smart",-160855,5.8
"One Missed Call","Ana Claudia Talancón",24513466,4.8
"Nacho Libre","Ana de la Reguera",67296462,5.6
"Two Night Stand","Analeigh Tipton",-731919,6.5
"Damsels in Distress","Analeigh Tipton",-1675701,5.5
Primer,"Anand Upadhyaya",834926,6.9
Assassins,"Anatoli Davydov",33306268,6.2
"Get on the Bus","Andre Braugher",3291854,7.3
"Quest for Camelot","Andrea Corr",-1827500,6.9
Traffic,"Andrew Chavez",160300000,7
"Never Let Me Go","Andrew Garfield",-3826282,6.8
"Inside Job","Andri Snær Magnason",5799257,7.8
"8 Heads in a Duffel Bag","Andy Comeau",1002884,5.1
"Black Rain","Andy Garcia",15892212,6.5
Twisted,"Andy Garcia",-9880152,5.3
"The Untouchables","Andy Garcia",51270454,7.8
"Aqua Teen Hunger Force Colon Movie Film for Theaters","Andy Merrill",4770368,6.4
"New York Minute","Andy Richter",-18784118,5.8
"Hot Rod","Andy Samberg",-10665599,6.3
"Malcolm X","Angela Bassett",13169910,7.5
Supernova,"Angela Bassett",-45183506,4.8
"Jumping the Broom","Angela Bassett",31158601,5.9
"Beauty and the Beast","Angela Lansbury",418707031,7.7
"Vanity Fair","Angelica Mandy",-3876149,5.7
"Girl, Interrupted","Angelina Jolie",4871190,7.6
"Phantasm II","Angus Scrimm",4282851,6.3
"The Ice Pirates","Anjelica Huston",4075390,5.8
"My Girl","Anna Chlumsky",41511485,7.1
"Take Me Home Tonight","Anna Faris",-11423396,6
Waiting...,"Anna Faris",17548274,6.3
"Land of the Lost","Anna Friel",-30451359,5.4
"Drinking Buddies","Anna Kendrick",-92900,6
"How Green Was My Valley","Anna Lee",-1250000,7.3
"The Brothers Grimm","Anna Rust",25299638,5.7
Sherrybaby,"Anna Simpson",-1240496,6.5
"Day of the Dead","AnnaLynne McCord",-18000000,5
